Id,Longitude,Latitude,Accuracy,TimeStamp,Date,DateTime,IsGPSOn,BatLevel,Provider,Bearing,DeviceTime,RepId
51,80.10075,6.13844,6.5,1745951309000,29/04/2025 12:00:00 AM,29/04/2025 6:28:29 PM,True,55,gps,274,29/04/2025 11:58:28 PM,373
52,80.10084,6.13841,6,1745951446000,30/04/2025 12:00:00 AM,29/04/2025 6:30:46 PM,True,55,gps,158.4,30/04/2025 12:00:45 AM,373
53,80.10084,6.13841,9.5,1745951509017,30/04/2025 12:00:00 AM,29/04/2025 6:31:49 PM,True,55,gps,233,30/04/2025 12:01:47 AM,373
54,80.10074,6.13837,7.5,1745951630000,30/04/2025 12:00:00 AM,29/04/2025 6:33:50 PM,True,55,gps,0,30/04/2025 12:03:49 AM,373
55,80.10068,6.13851,97.14001,1745951804898,30/04/2025 12:00:00 AM,29/04/2025 6:36:45 PM,True,55,network,0,30/04/2025 12:06:44 AM,373
56,80.10079,6.13839,5.5,1745951808442,30/04/2025 12:00:00 AM,29/04/2025 6:36:48 PM,True,55,gps,258,30/04/2025 12:06:47 AM,373
57,80.10066,6.13851,82.194,1745952104902,30/04/2025 12:00:00 AM,29/04/2025 6:41:45 PM,True,55,network,0,30/04/2025 12:11:44 AM,373
58,80.10079,6.13841,6,1745952108208,30/04/2025 12:00:00 AM,29/04/2025 6:41:48 PM,True,55,gps,190.4,30/04/2025 12:11:47 AM,373
59,80.10066,6.13851,75.923,1745952404885,30/04/2025 12:00:00 AM,29/04/2025 6:46:45 PM,True,55,network,0,30/04/2025 12:16:44 AM,373
60,80.10084,6.13839,9.5,1745952408444,30/04/2025 12:00:00 AM,29/04/2025 6:46:48 PM,True,55,gps,125,30/04/2025 12:16:47 AM,373
61,80.10079,6.13846,5.5,1745952535000,30/04/2025 12:00:00 AM,29/04/2025 6:48:55 PM,True,55,gps,0.6,30/04/2025 12:18:53 AM,373
62,80.1008,6.13836,6,1745952566000,30/04/2025 12:00:00 AM,29/04/2025 6:49:26 PM,True,55,gps,178.3,30/04/2025 12:19:25 AM,373
63,80.10066,6.13851,65.309,1745952704924,30/04/2025 12:00:00 AM,29/04/2025 6:51:45 PM,True,55,network,0,30/04/2025 12:21:44 AM,373
64,80.10077,6.1384,5.5,1745952708241,30/04/2025 12:00:00 AM,29/04/2025 6:51:48 PM,True,55,gps,0,30/04/2025 12:21:47 AM,373
65,80.10066,6.13851,57.475,1745953004892,30/04/2025 12:00:00 AM,29/04/2025 6:56:45 PM,True,55,network,0,30/04/2025 12:26:44 AM,373
66,80.10077,6.13835,7,1745953008805,30/04/2025 12:00:00 AM,29/04/2025 6:56:49 PM,True,55,gps,261.9,30/04/2025 12:26:47 AM,373
67,80.10066,6.13851,52.137,1745953304893,30/04/2025 12:00:00 AM,29/04/2025 7:01:45 PM,True,55,network,0,30/04/2025 12:31:44 AM,373
68,80.10077,6.13842,4,1745953308232,30/04/2025 12:00:00 AM,29/04/2025 7:01:48 PM,True,55,gps,291.4,30/04/2025 12:31:47 AM,373
69,80.10076,6.13851,6.5,1745953483000,30/04/2025 12:00:00 AM,29/04/2025 7:04:43 PM,True,55,gps,0,30/04/2025 12:34:41 AM,373
70,80.10079,6.13842,5.5,1745953580000,30/04/2025 12:00:00 AM,29/04/2025 7:06:20 PM,True,55,gps,273.3,30/04/2025 12:36:18 AM,373
71,80.10079,6.13838,14.5,1745953608941,30/04/2025 12:00:00 AM,29/04/2025 7:06:49 PM,True,55,gps,298.7,30/04/2025 12:36:47 AM,373
